SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,400 Beale St #508,San Francisco,CA,94105,699000,1,1.0,San Francisco,694,,2001,4,1007,863,Active,,,http://www.redfin.com/CA/San-Francisco/400-Beale-St-94105/unit-508/home/12399554,San Francisco MLS,421527612,N,Y,37.7869049,-122.3909202
MLS Listing,,Condo/Co-op,545 Ashbury St #2,San Francisco,CA,94117,849000,1,1.0,San Francisco,,2500,1900,14,,338,Active,,,http://www.redfin.com/CA/San-Francisco/545-Ashbury-St-94117/unit-2/home/114072474,San Francisco MLS,421523837,N,Y,37.7702626,-122.4472325
MLS Listing,,Single Family Residential,336 Bradford St,San Francisco,CA,94110,1190000,3,2.0,San Francisco,1450,1572,1927,24,821,,Active,,,http://www.redfin.com/CA/San-Francisco/336-Bradford-St-94110/home/966133,San Francisco MLS,421521361,N,Y,37.7375892,-122.40986
MLS Listing,,Condo/Co-op,5800 3Rd St #1211,San Francisco,CA,94124,680000,1,1.0,Portola District,817,,2010,24,832,432,Active,,,http://www.redfin.com/CA/San-Francisco/5800-3rd-St-94124/unit-1211/home/40625857,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40938478,N,Y,37.7250528,-122.3951255
MLS Listing,,Condo/Co-op,855 Folsom St #510,San Francisco,CA,94107,975000,1,1.5,San Francisco,1030,55687,2001,27,947,635,Active,,,http://www.redfin.com/CA/San-Francisco/855-Folsom-St-94107/unit-510/home/12398153,San Francisco MLS,421520348,N,Y,37.7807672,-122.4021418
MLS Listing,,Condo/Co-op,1635 California St #24,San Francisco,CA,94109,899000,2,2.0,San Francisco,915,,2005,59,983,639,Active,,,http://www.redfin.com/CA/San-Francisco/1635-California-St-94109/unit-24/home/12277015,San Francisco MLS,511753,N,Y,37.7901833,-122.4213456
MLS Listing,,Condo/Co-op,1875 Mission St #406,San Francisco,CA,94103,839000,2,1.0,San Francisco,631,,2014,67,1330,647,Active,,,http://www.redfin.com/CA/San-Francisco/1875-Mission-St-94103/unit-406/home/109315389,San Francisco MLS,511833,N,Y,37.7671013,-122.4194461
MLS Listing,,Condo/Co-op,1370 Hayes St #1372,San Francisco,CA,94117,1450000,4,2.5,San Francisco,1706,,1900,174,850,286,Active,,,http://www.redfin.com/CA/San-Francisco/1370-Hayes-St-94117/unit-1372/home/148065731,San Francisco MLS,506674,N,Y,37.775124,-122.439022
PAST SALE,,Condo/Co-op,1 Buena Vista Ave E Unit 1A,San Francisco,CA,94117,618000,,1.0,,,2495,1950,,,,Off Market,,,http://www.redfin.com/CA/San-Francisco/143-Valmar-Ter-94112/home/1026409,Coming Soon,,N,Y,37.7252771,-122.4245985
MLS Listing,,Single Family Residential,1148 Jamestown Ave,SAN FRANCISCO,CA,94124,998000,4,2.0,SAN FRANCISCO,1810,2500,1973,1,551,,Active,,,http://www.redfin.com/CA/San-Francisco/1148-Jamestown-Ave-94124/home/1396719,MLSListings,ML81834211,N,Y,37.7200175,-122.3958765
MLS Listing,,Multi-Family (2-4 Unit),1941 - 1943 Eddy St,San Francisco,CA,94115,1695000,4,2.0,San Francisco,2186,3436,1962,1,775,,Active,,,http://www.redfin.com/CA/San-Francisco/1941-Eddy-St-94115/home/1683879,San Francisco MLS,421528579,N,Y,37.7803118,-122.4397702
MLS Listing,,Multi-Family (5+ Unit),500 9th Ave,San Francisco,CA,94118,3295000,0,,San Francisco,5106,2000,1922,1,645,,Active,,,http://www.redfin.com/CA/San-Francisco/500-9th-Ave-94118/home/2030996,San Francisco MLS,421526471,N,Y,37.7787446,-122.4671814
MLS Listing,,Single Family Residential,448 Arlington St,San Francisco,CA,94131,1795000,3,1.5,San Francisco,1461,2350,1911,1,1229,,Active,,,http://www.redfin.com/CA/San-Francisco/448-Arlington-St-94131/home/1551542,BAREIS,421528446,N,Y,37.7356004,-122.4291728
MLS Listing,,Multi-Family (5+ Unit),375 14th St,San Francisco,CA,94103,3500000,0,,San Francisco,9284,7200,1925,1,377,,Active,,,http://www.redfin.com/CA/San-Francisco/375-14th-St-94103/home/1710825,San Francisco MLS,421528610,N,Y,37.7679557,-122.4216406
MLS Listing,,Condo/Co-op,351 Buena Vista Ave Unit 702E,San Francisco,CA,94117,1195000,1,1.0,San Francisco,,13515,1987,1,,821,Active,,,http://www.redfin.com/CA/San-Francisco/351-Buena-Vista-Ave-E-94117/unit-702E/home/102813088,San Francisco MLS,421528582,N,Y,37.7675387,-122.4401564
MLS Listing,,Single Family Residential,496 Monterey Blvd,San Francisco,CA,94127,1195000,2,2.0,San Francisco,1240,3000,1922,1,964,,Active,,,http://www.redfin.com/CA/San-Francisco/496-Monterey-Blvd-94127/home/691881,San Francisco MLS,421526596,N,Y,37.7317482,-122.446569
